Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
E.I.D. - Parry (India) Ltd.,FMCG,Small-Cap,December-2025,237821,24.56
Computer Age Management Services Ltd.,Financials,Small-Cap,December-2025,313221,23.86
Astral Ltd.,Consumer Durables,Mid-Cap,December-2025,166964,23.62
Kajaria Ceramics Ltd.,Construction,Small-Cap,December-2025,231049,23.52
International Gemmological Institute (India) Ltd.,Miscellaneous,Small-Cap,December-2025,706653,23.43
Techno Electric & Engineering Company Ltd.,Infrastructure,Small-Cap,December-2025,203505,23.27
Power Finance Corporation Ltd.,Financials,Large-Cap,December-2025,647947,23.26
Concord Biotech Ltd.,Healthcare,Small-Cap,December-2025,166414,22.99
360 One Wam Ltd.,Financials,Mid-Cap,December-2025,191784,22.76
Mrs. Bectors Food Specialities Ltd.,FMCG,Small-Cap,December-2025,910139,22.32
Ceigall India Ltd.,Infrastructure,Small-Cap,December-2025,871930,22.28
Finolex Cables Ltd.,Capital Goods,Small-Cap,December-2025,296263,22.20
Skipper Ltd.,Capital Goods,Small-Cap,December-2025,489747,22.18
SKF India Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,115971,21.84
NTPC Green Energy Ltd.,Energy,Mid-Cap,December-2025,2304878,21.84
Kirloskar Ferrous Industries Ltd.,Metals,Small-Cap,December-2025,441078,21.50
3M India Ltd.,Diversified,Mid-Cap,December-2025,6033,21.10
Hi-Tech Pipes Ltd.,Metals,Small-Cap,December-2025,2164862,20.89
JK Lakshmi Cement Ltd.,Construction,Small-Cap,December-2025,268688,20.65
DCB Bank Ltd.,Financials,Small-Cap,December-2025,1157801,20.59
Archean Chemical Industries Ltd.,Chemicals,Small-Cap,December-2025,378111,20.21
Kansai Nerolac Paints Ltd.,Chemicals,Small-Cap,December-2025,856235,20.20
Black Box Ltd.,Media and Communications,Small-Cap,December-2025,371304,20.14
Kalyan Jewellers India Ltd.,Retail and Other Services,Mid-Cap,December-2025,396584,19.64
Arvind Ltd.,Textile,Small-Cap,December-2025,583062,19.52
Zota Health Care Ltd.,Miscellaneous,Small-Cap,December-2025,124015,19.34
Sharda Cropchem Ltd.,Chemicals,Small-Cap,December-2025,221979,19.27
Lumax Auto Technologies Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,124002,19.10
Minda Corporation Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,330088,19.07
Birla Corporation Ltd.,Construction,Small-Cap,December-2025,173891,18.99
Niva Bupa Health Insurance Company Ltd.,Financials,Small-Cap,December-2025,2536490,18.99
Deepak Fertilisers And Petrochemicals Corporation Ltd.,Chemicals,Small-Cap,December-2025,142106,18.87
Bajaj Electricals Ltd.,Consumer Durables,Small-Cap,December-2025,392931,18.83
CE Info Systems Ltd.,Technology,Small-Cap,December-2025,110289,18.77
Inox India Ltd.,Capital Goods,Small-Cap,December-2025,161811,18.64
Pace Digitek Ltd.,Media and Communications,Small-Cap,December-2025,907418,18.25
Gillette India Ltd.,FMCG,Small-Cap,December-2025,21169,18.04
VST Industries Ltd.,FMCG,Small-Cap,December-2025,702736,18.00
The Ramco Cements Ltd.,Construction,Small-Cap,December-2025,171714,17.98
Radico Khaitan Ltd.,FMCG,Mid-Cap,December-2025,54600,17.76
The India Cements Ltd.,Construction,Small-Cap,December-2025,425852,17.63
Eris Lifesciences Ltd.,Healthcare,Small-Cap,December-2025,112980,17.52
