Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
The Ramco Cements Ltd.,Construction,Small-Cap,November-2025,834206,86.84
Chalet Hotels Ltd.,Travel,Small-Cap,November-2025,941586,86.44
Apar Industries Ltd.,Capital Goods,Mid-Cap,November-2025,95770,85.38
Anthem Biosciences Ltd.,Healthcare,Mid-Cap,November-2025,1269077,85.33
Ajanta Pharma Ltd.,Healthcare,Small-Cap,November-2025,330437,83.04
The South Indian Bank Ltd.,Financials,Small-Cap,November-2025,21771069,82.95
Punjab National Bank,Financials,Large-Cap,November-2025,6699339,82.87
Usha Martin Ltd.,Metals,Small-Cap,November-2025,1838730,82.08
3M India Ltd.,Diversified,Mid-Cap,November-2025,24946,80.33
Motherson Sumi Wiring India Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,16998613,78.93
NTPC Green Energy Ltd.,Energy,Mid-Cap,November-2025,7734196,76.60
Thermax Ltd.,Capital Goods,Mid-Cap,November-2025,242753,74.51
Hexaware Technologies Ltd.,Technology,Mid-Cap,November-2025,1013761,73.20
Styrenix Performance Materials Ltd.,Chemicals,Small-Cap,November-2025,323964,72.20
Voltamp Transformers Ltd.,Capital Goods,Small-Cap,November-2025,92720,72.15
United Breweries Ltd.,FMCG,Mid-Cap,November-2025,407952,71.15
GMM Pfaudler Ltd.,Capital Goods,Small-Cap,November-2025,589332,71.08
Prestige Estates Projects Ltd.,Construction,Mid-Cap,November-2025,411111,70.34
Aditya Birla Capital Ltd.,Financials,Mid-Cap,November-2025,2059047,70.24
Bank Of Maharashtra,Financials,Mid-Cap,November-2025,11646300,68.47
LT Foods Ltd.,FMCG,Small-Cap,November-2025,1628771,67.50
Mrs. Bectors Food Specialities Ltd.,FMCG,Small-Cap,November-2025,506394,66.84
KPIT Technologies Ltd.,Technology,Small-Cap,November-2025,547877,65.45
Coforge Ltd.,Technology,Mid-Cap,November-2025,354886,65.42
L&T Technology Services Ltd.,Technology,Mid-Cap,November-2025,149757,64.09
Equitas Small Finance Bank Ltd.,Financials,Small-Cap,November-2025,10572571,64.04
Clean Science And Technology Ltd.,Chemicals,Small-Cap,November-2025,662341,63.66
Indigo Paints Ltd.,Chemicals,Small-Cap,November-2025,555482,63.42
JK Cement Ltd.,Construction,Mid-Cap,November-2025,105705,63.28
Devyani International Ltd.,FMCG,Small-Cap,November-2025,4140417,61.58
DOMS Industries Ltd.,FMCG,Small-Cap,November-2025,241309,61.32
Krishna Institute of Medical Sciences Ltd,Healthcare,Small-Cap,November-2025,862781,60.66
Jindal Steel Ltd.,Metals,Mid-Cap,November-2025,557895,58.89
Jamna Auto Industries Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,5618868,58.75
Thangamayil Jewellery Ltd.,Retail and Other Services,Small-Cap,November-2025,213107,57.79
Latent View Analytics Ltd.,Miscellaneous,Small-Cap,November-2025,1203937,56.99
Sai Life Sciences Ltd.,Healthcare,Small-Cap,November-2025,621400,56.01
Craftsman Automation Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,79267,54.32
E2E Networks Ltd.,Technology,Small-Cap,November-2025,202254,54.15
United Spirits Ltd.,FMCG,Mid-Cap,November-2025,367746,53.01
Studds Accessories Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,932614,52.82
Medi Assist Healthcare Services Ltd.,Miscellaneous,Small-Cap,November-2025,1009499,52.71
Solar Industries India Ltd.,Chemicals,Large-Cap,November-2025,38091,51.71
Adani Green Energy Ltd.,Energy,Large-Cap,November-2025,471218,51.56
Trent Ltd.,Retail and Other Services,Large-Cap,November-2025,111400,49.82
Aditya Birla Lifestyle Brands Ltd.,Retail and Other Services,Small-Cap,November-2025,3742545,49.36
Apollo Tyres Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,964523,48.97
Landmark Cars Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,841024,48.79
Camlin Fine Sciences Ltd.,Chemicals,Small-Cap,November-2025,2652468,47.85
Tata Capital Ltd.,Financials,Large-Cap,November-2025,1448327,47.45
Escorts Kubota Ltd.,Automobile and Ancillaries,Mid-Cap,November-2025,124162,47.21
Firstsource Solutions Ltd.,Technology,Small-Cap,November-2025,1336341,46.75
Jubilant Ingrevia Ltd.,Chemicals,Small-Cap,November-2025,655067,45.79
Zensar Technologies Ltd.,Technology,Small-Cap,November-2025,590258,45.66
Acme Solar Holdings Ltd.,Energy,Small-Cap,November-2025,1767445,45.24
Travel Food Services Ltd.,Retail and Other Services,Small-Cap,November-2025,335434,44.69
Dhanuka Agritech Ltd.,Chemicals,Small-Cap,November-2025,337142,44.01
Blue Dart Express Ltd.,Logistics,Small-Cap,November-2025,70723,43.46
Eris Lifesciences Ltd.,Healthcare,Small-Cap,November-2025,270535,43.11
Astra Microwave Products Ltd.,Capital Goods,Small-Cap,November-2025,435280,42.98
Inventurus Knowledge Solutions Ltd.,Technology,Small-Cap,November-2025,258146,42.94
Sundaram Finance Ltd.,Financials,Mid-Cap,November-2025,91872,42.83
Axis Bank Ltd.,Financials,Large-Cap,November-2025,339230,42.62
Cemindia Projects Ltd.,Infrastructure,Small-Cap,November-2025,506737,41.81
CarTrade Tech Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,136147,41.57
Bayer CropScience Ltd.,Chemicals,Small-Cap,November-2025,86511,41.28
Dr. Lal Pathlabs Ltd.,Healthcare,Small-Cap,November-2025,132118,40.87
