Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Sonata Software Ltd.,Technology,Small-Cap,February-2026,1431422,41.9
Wockhardt Ltd.,Healthcare,Small-Cap,February-2026,294191,40.36
Linde India Ltd.,Energy,Mid-Cap,February-2026,62854,40.03
National Securities Depository Ltd.,Financials,Small-Cap,February-2026,414458,39.29
Acme Solar Holdings Ltd.,Energy,Small-Cap,February-2026,1671630,38.6
Deepak Fertilisers And Petrochemicals Corporation Ltd.,Chemicals,Small-Cap,February-2026,370199,37.98
RBL Bank Ltd.,Financials,Small-Cap,February-2026,1201595,37.16
S.P. Apparels Ltd.,Textile,Small-Cap,February-2026,536631,37.07
Cummins India Ltd.,Automobile and Ancillaries,Large-Cap,February-2026,80872,36.44
Yes Bank Ltd.,Financials,Mid-Cap,February-2026,17228532,36.29
Physicswallah Ltd.,Retail and Other Services,Small-Cap,February-2026,3514389,36.2
Shaily Engineering Plastics Ltd.,Consumer Durables,Small-Cap,February-2026,184006,35.55
Lloyds Metals & Energy Ltd.,Metals,Mid-Cap,February-2026,296982,34.7
Indian Railway Finance Corporation Ltd.,Financials,Large-Cap,February-2026,3098244,34.65
Amara Raja Energy & Mobility Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,402526,33.9
Techno Electric & Engineering Company Ltd.,Infrastructure,Small-Cap,February-2026,315283,33.86
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Small-Cap,February-2026,168510,33.05
Go Fashion (India) Ltd.,Retail and Other Services,Small-Cap,February-2026,944632,32.93
PN Gadgil Jewellers Ltd.,Retail and Other Services,Small-Cap,February-2026,594120,32.73
L&T Finance Ltd.,Financials,Mid-Cap,February-2026,1140214,32.51
CIE Automotive India Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,720213,32.04
Samhi Hotels Ltd.,Travel,Small-Cap,February-2026,1918875,31.84
Jupiter Life Line Hospitals Ltd.,Healthcare,Small-Cap,February-2026,241501,31.55
SJVN Ltd.,Energy,Small-Cap,February-2026,4312814,31.38
EIH Ltd.,Travel,Small-Cap,February-2026,987001,31
TVS Holdings Ltd.,Financials,Small-Cap,February-2026,20367,30.72
Emami Ltd.,FMCG,Small-Cap,February-2026,637554,30.17
Mahindra & Mahindra Financial Services Ltd.,Financials,Mid-Cap,February-2026,775992,29.09
KSB Ltd.,Capital Goods,Small-Cap,February-2026,388977,28.75
Angel One Ltd.,Financials,Small-Cap,February-2026,1177308,28.68
Persistent Systems Ltd.,Technology,Mid-Cap,February-2026,53076,28.58
KFin Technologies Ltd.,Financials,Small-Cap,February-2026,287182,28.3
PNB Housing Finance Ltd.,Financials,Small-Cap,February-2026,339486,27.96
Tenneco Clean Air India Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,504697,27.85
Zensar Technologies Ltd.,Technology,Small-Cap,February-2026,443743,26.96
Manorama Industries Ltd.,FMCG,Small-Cap,February-2026,193329,26.84
Cello World Ltd.,Miscellaneous,Small-Cap,February-2026,569714,26.06
Power Mech Projects Ltd.,Infrastructure,Small-Cap,February-2026,124093,25.76
Sterlite Technologies Ltd.,Capital Goods,Small-Cap,February-2026,1897433,25.19
Bata India Ltd.,FMCG,Small-Cap,February-2026,303651,25.04
Akums Drugs & Pharmaceuticals Ltd.,Healthcare,Small-Cap,February-2026,537053,24.91
Colgate-Palmolive (India) Ltd.,FMCG,Mid-Cap,February-2026,112349,24.54
Praj Industries Ltd.,Capital Goods,Small-Cap,February-2026,788192,23.96
Glenmark Pharmaceuticals Ltd.,Healthcare,Mid-Cap,February-2026,114993,23.88
Aegis Vopak Terminals Ltd.,Miscellaneous,Small-Cap,February-2026,1045126,23.77
United Spirits Ltd.,FMCG,Mid-Cap,February-2026,172540,23.67
Sri Lotus Developers And Realty Ltd.,Construction,Small-Cap,February-2026,1603562,23.35
Gateway Distriparks Ltd.,Logistics,Small-Cap,February-2026,3971522,23.32
Blue Jet Healthcare Ltd.,Healthcare,Small-Cap,February-2026,559287,23.02
Indo Count Industries Ltd.,Textile,Small-Cap,February-2026,916545,22.98
Petronet LNG Ltd.,Energy,Mid-Cap,February-2026,748283,22.94
Stanley Lifestyles Ltd.,FMCG,Small-Cap,February-2026,1313637,22.72
Zaggle Prepaid Ocean Services Ltd.,Technology,Small-Cap,February-2026,871655,22.27
Vikran Engineering Ltd.,Infrastructure,Small-Cap,February-2026,2828868,22.19
Happiest Minds Technologies Ltd.,Technology,Small-Cap,February-2026,562821,21.76
AIA Engineering Ltd.,Automobile and Ancillaries,Mid-Cap,February-2026,55249,21.66
BASF India Ltd.,Chemicals,Small-Cap,February-2026,60409,21.44
Tata Technologies Ltd.,Technology,Small-Cap,February-2026,346249,21.32
Devyani International Ltd.,FMCG,Small-Cap,February-2026,1700145,20.71
Home First Finance Company India Ltd.,Financials,Small-Cap,February-2026,182981,20.69
Poly Medicure Ltd.,Healthcare,Small-Cap,February-2026,143241,19.89
Hawkins Cookers Ltd.,Consumer Durables,Small-Cap,February-2026,26322,19.57
Seshaasai Technologies Ltd.,Financials,Small-Cap,February-2026,762228,18.75
Entero Healthcare Solutions Ltd.,Miscellaneous,Small-Cap,February-2026,173473,18.53
Greenpanel Industries Ltd.,Construction,Small-Cap,February-2026,839932,18.26
VST Industries Ltd.,FMCG,Small-Cap,February-2026,773364,18.12
Concord Biotech Ltd.,Healthcare,Small-Cap,February-2026,148058,17.74
Jyoti CNC Automation Ltd.,Capital Goods,Small-Cap,February-2026,217881,17.72
Unicommerce eSolutions Ltd.,Technology,Small-Cap,February-2026,1641654,17.38
Stylam Industries Ltd.,Construction,Small-Cap,February-2026,74769,16.6
VIP Industries Ltd.,Retail and Other Services,Small-Cap,February-2026,447265,16.39
Sudeep Pharma Ltd.,Healthcare,Small-Cap,February-2026,258836,16.15
Navin Fluorine International Ltd.,Chemicals,Small-Cap,February-2026,25778,15.93
KEI Industries Ltd.,Capital Goods,Mid-Cap,February-2026,34900,15.88
Senco Gold Ltd.,Retail and Other Services,Small-Cap,February-2026,497447,15.54
The South Indian Bank Ltd.,Financials,Small-Cap,February-2026,3924691,15.45
Texmaco Rail & Engineering Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,1324803,15.4
Quadrant Future Tek Ltd.,Capital Goods,Small-Cap,February-2026,504877,15.11
Grindwell Norton Ltd.,Capital Goods,Small-Cap,February-2026,87036,13.95
Neogen Chemicals Ltd.,Chemicals,Small-Cap,February-2026,103501,13.87
Rishabh Instruments Ltd.,Capital Goods,Small-Cap,February-2026,341072,13.43
ICRA Ltd.,Miscellaneous,Small-Cap,February-2026,22660,13.41
Birlasoft Ltd.,Technology,Small-Cap,February-2026,326725,13.2
Titagarh Rail Systems Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,173339,13.19
Sharda Cropchem Ltd.,Chemicals,Small-Cap,February-2026,115498,12.86
Bharat Coking Coal Ltd.,Energy,Small-Cap,February-2026,3525901,12.79
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Mid-Cap,February-2026,51076,12.7
The Anup Engineering Ltd.,Capital Goods,Small-Cap,February-2026,75015,12.54
KNR Constructions Ltd.,Infrastructure,Small-Cap,February-2026,890785,12.51
Anant Raj Ltd.,Construction,Small-Cap,February-2026,241838,12.5
