Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Tata Technologies Ltd.,Technology,Small-Cap,December-2025,291958,19.3
RR Kabel Ltd.,Capital Goods,Small-Cap,December-2025,133811,19.11
Garware Technical Fibres Ltd.,Textile,Small-Cap,December-2025,272802,19.1
Rain Industries Ltd.,Energy,Small-Cap,December-2025,1499739,19.04
KNR Constructions Ltd.,Infrastructure,Small-Cap,December-2025,1171840,18.92
Aster DM Healthcare Ltd.,Healthcare,Small-Cap,December-2025,294272,18.87
Premier Energies Ltd.,Miscellaneous,Mid-Cap,December-2025,205978,18.72
Castrol India Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,959637,18.46
Pondy Oxides & Chemicals Ltd.,Metals,Small-Cap,December-2025,132963,18.22
Welspun Corp Ltd.,Metals,Small-Cap,December-2025,216203,18.06
V-Mart Retail Ltd.,Retail and Other Services,Small-Cap,December-2025,235498,17.64
Symphony Ltd.,Miscellaneous,Small-Cap,December-2025,202013,17.61
Data Patterns (India) Ltd.,Capital Goods,Small-Cap,December-2025,62357,17.45
Jupiter Wagons Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,555951,17.39
Fine Organic Industries Ltd.,Chemicals,Small-Cap,December-2025,38146,16.28
Granules India Ltd.,Healthcare,Small-Cap,December-2025,278337,16.07
PVR Inox Ltd.,Media and Communications,Small-Cap,December-2025,152363,15.87
Mahindra Holidays & Resorts India Ltd.,Travel,Small-Cap,December-2025,505039,15.82
Sanofi India Ltd.,Healthcare,Small-Cap,December-2025,36508,15.47
Taj GVK Hotels & Resorts Ltd.,Travel,Small-Cap,December-2025,367395,15.38
Go Fashion (India) Ltd.,Retail and Other Services,Small-Cap,December-2025,310048,15.2
Devyani International Ltd.,FMCG,Small-Cap,December-2025,1063239,15.08
Bata India Ltd.,FMCG,Small-Cap,December-2025,154058,14.96
Physicswallah Ltd.,Retail and Other Services,Mid-Cap,December-2025,1146624,14.77
Baazar Style Retail Ltd.,Retail and Other Services,Small-Cap,December-2025,519082,14.63
Anand Rathi Share & Stock Brokers Ltd.,Financials,Small-Cap,December-2025,219670,14.54
IIFL Capital Services Ltd.,Financials,Small-Cap,December-2025,420558,14.38
CIE Automotive India Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,338085,14.13
Greenpanel Industries Ltd.,Construction,Small-Cap,December-2025,587968,14.06
Intellect Design Arena Ltd.,Technology,Small-Cap,December-2025,133763,13.93
CESC Ltd.,Energy,Small-Cap,December-2025,792464,13.39
Deepak Nitrite Ltd.,Chemicals,Small-Cap,December-2025,80414,13.23
EPack Prefab Technologies Ltd.,Consumer Durables,Small-Cap,December-2025,441176,13.15
