Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
Omnitech Engineering Ltd.,Capital Goods,Small-Cap,February-2026,3524070,80.00
Triveni Turbine Ltd.,Capital Goods,Small-Cap,February-2026,1611786,79.92
Tata Power Company Ltd.,Energy,Large-Cap,February-2026,2103252,78.23
Gujarat Fluorochemicals Ltd.,Chemicals,Mid-Cap,February-2026,238537,77.96
Endurance Technologies Ltd.,Automobile and Ancillaries,Mid-Cap,February-2026,304202,77.40
Medplus Health Services Ltd.,Retail and Other Services,Small-Cap,February-2026,933571,76.86
NTPC Green Energy Ltd.,Energy,Mid-Cap,February-2026,8607813,75.88
Aarti Industries Ltd.,Chemicals,Small-Cap,February-2026,1851869,75.84
E.I.D. - Parry (India) Ltd.,FMCG,Small-Cap,February-2026,793878,70.98
K.P.R. Mill Ltd.,Textile,Small-Cap,February-2026,778701,68.81
MRF Ltd.,Automobile and Ancillaries,Mid-Cap,February-2026,5015,68.49
Aditya Vision Ltd.,Retail and Other Services,Small-Cap,February-2026,1340317,65.91
Schaeffler India Ltd.,Automobile and Ancillaries,Mid-Cap,February-2026,162717,64.92
Rainbow Children's Medicare Ltd.,Healthcare,Small-Cap,February-2026,557766,64.92
ASK Automotive Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,1493818,64.33
Urban Company Ltd.,Miscellaneous,Small-Cap,February-2026,5564687,64.10
JSW Dulux Ltd.,Chemicals,Small-Cap,February-2026,219706,63.00
Afcons Infrastructure Ltd.,Infrastructure,Small-Cap,February-2026,1998375,62.32
Bank Of Baroda,Financials,Large-Cap,February-2026,1991214,61.86
CMS Info Systems Ltd.,Miscellaneous,Small-Cap,February-2026,1989833,61.58
General Insurance Corporation of India,Financials,Mid-Cap,February-2026,1558258,59.30
Mahindra Logistics Ltd.,Logistics,Small-Cap,February-2026,1501771,58.15
Laurus Labs Ltd.,Healthcare,Mid-Cap,February-2026,566528,57.81
Prudent Corporate Advisory Services Ltd.,Financials,Small-Cap,February-2026,241973,57.43
Anthem Biosciences Ltd.,Healthcare,Mid-Cap,February-2026,882327,57.38
Welspun Living Ltd.,Textile,Small-Cap,February-2026,4507965,56.18
Westlife Foodworld Ltd,Retail and Other Services,Small-Cap,February-2026,1085001,53.60
Sundaram Finance Ltd.,Financials,Mid-Cap,February-2026,98351,53.05
Dodla Dairy Ltd,FMCG,Small-Cap,February-2026,448844,52.80
TruAlt Bioenergy Ltd.,FMCG,Small-Cap,February-2026,1347332,52.76
