Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Relaxo Footwears Ltd.,FMCG,Small-Cap,November-2025,89669,3.79
Jupiter Wagons Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,123501,3.76
Nucleus Software Exports Ltd.,Technology,Small-Cap,November-2025,37553,3.64
Praveg Ltd.,Travel,Small-Cap,November-2025,113374,3.57
Maharashtra Scooters Ltd.,Financials,Small-Cap,November-2025,2380,3.55
Cupid Ltd.,FMCG,Small-Cap,November-2025,124000,3.49
Quadrant Future Tek Ltd.,Capital Goods,Small-Cap,November-2025,109235,3.4
Smartworks Coworking Spaces Ltd.,Miscellaneous,Small-Cap,November-2025,64088,3.4
Alembic Pharmaceuticals Ltd.,Healthcare,Small-Cap,November-2025,36905,3.33
Elecon Engineering Company Ltd.,Capital Goods,Small-Cap,November-2025,58320,3.11
Gallantt Ispat Ltd.,Metals,Small-Cap,November-2025,54132,3.02
Artemis Medicare Services Ltd.,Healthcare,Small-Cap,November-2025,111532,2.97
Aarti Drugs Ltd.,Healthcare,Small-Cap,November-2025,63245,2.9
Rossari Biotech Ltd.,Chemicals,Small-Cap,November-2025,46499,2.89
Jindal Saw Ltd.,Metals,Small-Cap,November-2025,170268,2.88
Rolex Rings Ltd,Automobile and Ancillaries,Small-Cap,November-2025,248852,2.79
Aether Industries Ltd.,Chemicals,Small-Cap,November-2025,33733,2.75
Baazar Style Retail Ltd.,Retail and Other Services,Small-Cap,November-2025,88505,2.68
V-Guard Industries Ltd.,Capital Goods,Small-Cap,November-2025,71226,2.52
TruAlt Bioenergy Ltd.,FMCG,Small-Cap,November-2025,54109,2.41
